iata,land_code,stadt
AEP,AR,Buenos Aires
AFA,AR,San Rafael
AFL,BR,Alta Floresta
AGT,PY,Ciudad del Este
AGV,VE,Acarigua
AJU,BR,Aracaju
ANF,CL,Antofagasta
APO,CO,Apartado
AQA,BR,Araraquara
AQP,PE,Arequipa
ARI,CL,Arica
ARU,BR,Aracatuba
ASU,PY,Asuncion
ATM,BR,Altamira
AUC,CO,Arauca
AUX,BR,Araguaina
AXM,CO,Armenien
AYP,PE,Ayacucho
BAQ,CO,Barranquilla
BBA,CL,Balmaceda
BEL,BR,Belem
BGA,CO,Bucaramanga
BHI,AR,Bahia Blanca
BLA,VE,Barcelona
BNS,VE,Barinas
BOG,CO,Bogota
BPS,BR,Porto Seguro
BRC,AR,San Carlos Bariloche
BRM,VE,Barquisimeto
BSB,BR,Brasilia
BSC,CO,Bahia Solano
BUN,CO,Buenaventura
BVB,BR,Boa Vista
BVH,BR,Vilhena
CAC,BR,Cascavel
CAJ,VE,Canaima
CAW,BR,Campos dos Goytacazes
CAY,GF,Cayenne
CBB,BO,Cochabamba
CCM,BR,Criciuma
CCP,CL,Concepcion
CCS,VE,Caracas
CGB,BR,Cuiaba
CGH,BR,Sao Paulo
CGR,BR,Campo Grande
CHH,PE,Chachapoyas
CHM,PE,Chimbote
CIJ,BO,Cobija
CIX,PE,Chiclayo
CJA,PE,Cajamarca
CJC,CL,Calama
CKS,BR,Parauapebas
CLO,CO,Cali
CMG,BR,Corumba
CNF,BR,Belo Horizonte
CNQ,AR,Corrientes
COR,AR,Cordoba
CPC,AR,San Martin los Andes
CPO,CL,Copiapo
CPV,BR,Campina Grande
CRC,CO,Cartago
CRD,AR,Comodoro Rivadavia
CTC,AR,Catamarca
CTG,CO,Cartagena
CUC,CO,Cucuta
CUE,EC,Cue
CUM,VE,Cumana
CUP,VE,Carupano
CUZ,PE,Cusco
CWB,BR,Curitiba
CXJ,BR,Caxias do Sul
CZE,VE,Coro
CZS,BR,Cruzeiro do Sul
CZU,CO,Corozal
EJA,CO,Barrancabermeja
EOH,CO,Medellin
EQS,AR,Esquel
ESR,CL,El Salvador
ETR,EC,Santa Rosa
EYP,CO,Yopal
EZE,AR,Buenos Aires
FEN,BR,Fernando de Noronha
FLA,CO,Florencia
FLN,BR,Florianopolis
FMA,AR,Formosa
FOR,BR,Fortaleza
FTE,AR,Comandante A. Tola,
GEL,BR,Santo Angelo
GEO,GY,Georgetown
GIG,BR,Rio de Janeiro
GRU,BR,Sao Paulo
GYE,EC,Guayaquil
GYN,BR,Goiania
HUU,PE,Huanuco
IBE,CO,Ibague
IGR,AR,Iguazu
IGU,BR,Foz do Iguacu
ILQ,PE,Ilo
IMP,BR,Imperatriz
IOS,BR,Ilheus
IPC,CL,Osterinsel
IPN,BR,Ipatinga
IQQ,CL,Iquique
IQT,PE,Iquitos
IRJ,AR,La Rioja
ITB,BR,Itaituba
IZA,BR,Juiz de Fora
JAE,PE,Jaen
JAU,PE,Jauja
JDF,BR,Juiz de Fora
JJD,BR,Cruz
JOI,BR,Joinville
JPA,BR,Joao Pessoa
JTC,BR,Bauru
JUJ,AR,Jujuy
JUL,PE,Juliaca
KAI,GY,Kaieteur
LAJ,BR,Lages
LDB,BR,Londrina
LET,CO,Leticia
LHS,AR,Las Heras
LIM,PE,Jorge Chavez Intl,
LPB,BO,La Paz
LSC,CL,La Serena
LSP,VE,Las Piedras
LTM,GY,Lethem
LTX,EC,Latacunga
LUQ,AR,San Luis
MAB,BR,Maraba
MAO,BR,Manaus
MAR,VE,Maracaibo
MCP,BR,Macapa
MCZ,BR,Maceio
MDE,CO,Medellin
MDQ,AR,Mar del Plata
MDZ,AR,Mendoza
MEA,BR,Macae
MEC,EC,Manta
MEU,BR,Monte Dourado
MGF,BR,Maringa
MII,BR,Marilia
MNX,BR,Manicore
MOC,BR,Montes Claros
MPN,FK,Mount Pleasant
MRD,VE,Merida
MTR,CO,Monteria
MUN,VE,Maturin
MVD,UY,Montevideo
MVF,BR,Mossoro
MVP,CO,Mitu
MYC,VE,Maracay
MZL,CO,Manizales
NAT,BR,Natal Intl.,
NEC,AR,Necochea
NQN,AR,Neuquen
NVA,CO,Neiva
NVT,BR,Navegantes
NZC,PE,Nazca
OCC,EC,Coca
OGL,GY,Georgetown
PAV,BR,Paulo Afonso
PBM,SR,Paramaribo
PCL,PE,Pucallpa
PCR,CO,Puerto Carreno
PDA,CO,Puerto Inirida
PEI,CO,Pereira
PEM,PE,Puerto Maldonado
PET,BR,Pelotas
PFB,BR,Passo Fundo
PGZ,BR,Ponta Grossa
PHB,BR,Parnaiba
PIU,PE,Piura
PMC,CL,Puerto Montt
PMG,BR,Ponta Pora
PMQ,AR,Perito Moreno
PMV,VE,Porlamar
PMW,BR,Palmas
PMY,AR,Puerto Madryn
PNT,CL,Puerto Natales
PNZ,BR,Petrolina
POA,BR,Porto Alegre
PPB,BR,Presidente Prudente
PPN,CO,Popayan
PRA,AR,Parana
PSS,AR,Posadas
PSY,FK,Stanley
PSZ,BO,Puerto Suarez
PUD,AR,Puerto Deseado
PUQ,CL,Punta Arenas
PUU,CO,Puerto Asis
PVH,BR,Porto Velho
PYH,VE,Puerto Ayacucho
PZO,VE,Puerto Ordaz
RAO,BR,Ribeirao Preto
RBR,BR,Rio Branco
RCH,CO,Riohacha
REC,BR,Recife
REL,AR,Trelew
RES,AR,Resistencia
RGA,AR,Rio Grande
RGL,AR,Rio Gallegos
RHD,AR,Termas de Rio Hondo
RIA,BR,Santa Maria
ROO,BR,Rondonopolis
ROS,AR,Rosario
RSA,AR,Santa Rosa
RZA,AR,Puerto Santa Cruz
SCL,CL,Santiago
SDE,AR,Santiago del Estero
SDU,BR,Rio de Janeiro
SFN,AR,Santa Fe
SJE,CO,San Jose del Guaviare
SJK,BR,Sao Jose dos Campos
SJL,BR,Sao Gabriel Cachoeira
SJP,BR,Sao Jose do Rio Preto
SLA,AR,Salta
SLZ,BR,Sao Luis
SMR,CO,Santa Marta
SOM,VE,San Tome
SRE,BO,Sucre
SRZ,BO,Santa Cruz
SSA,BR,Salvador
SST,AR,Santa Teresita
STD,VE,Santo Domingo
STM,BR,Santarem
SVI,CO,San Vicente del Caguan
SVZ,VE,San Antonio Tachira
TBP,PE,Tumbes
TBT,BR,Tabatinga
TCO,CO,Tumaco
TCQ,PE,Tacna
TFF,BR,Tefe
THE,BR,Teresina
TJA,BO,Tarija
TME,CO,Tame
TMT,BR,Trombetas
TPP,PE,Tarapoto
TRU,PE,Trujillo
TTG,AR,Tartagal
TUA,EC,Tulcan
TUC,AR,Tucuman
TUR,BR,Tucurui
TYL,PE,Talara
UAQ,AR,San Juan
UBA,BR,Uberaba
UDI,BR,Uberlandia
UIB,CO,Quibdo
UIO,EC,Quito
ULA,AR,San Julian
URG,BR,Uruguaiana
USH,AR,Ushuaia
VCP,BR,Sao Paulo
VDC,BR,Glauber Rocha,
VDM,AR,Viedma
VIG,VE,El Vigia
VIX,BR,Vitoria
VLN,VE,Valencia
VLV,VE,Valera
VUP,CO,Valledupar
VVC,CO,Villavicencio
VVI,BO,Santa Cruz
XAP,BR,Chapeco
XMS,EC,Macas
YMS,PE,Yurimaguas
ZAL,CL,Valdivia
ZCO,CL,Temuco
ZOS,CL,Osorno
AAL,DK,Aalborg
AAQ,RU,Anapa
AAR,DK,Aarhus
ABA,RU,Abakan
ABZ,GB,Aberdeen
ACH,CH,Altenrhein
ACI,GB,Alderney
AER,RU,Sotschi
AES,NO,Alesund
AEY,IS,Akureyri
AGF,FR,Agen
AGH,SE,Angelholm/Helsingborg
AGP,ES,Malaga
AHO,IT,Alghero
AJA,FR,Ajaccio
AJR,SE,Arvidsjaur
ALC,ES,Alicante
ALF,NO,Alta
AMS,NL,Amsterdam
ANE,FR,Angers
ANR,BE,Antwerpen
ANX,NO,Andenes
AOI,IT,Ancona
